POSTCODE,DATE,INDEX
2010,2020-03-04,-0.6099990252727391
2010,2020-03-05,-1.012526483599126
2010,2020-03-06,-0.4310009720882506
2010,2020-03-07,-0.7971297815650299
2010,2020-03-08,-0.4526575855933336
2010,2020-03-09,-0.19638740329065574
2010,2020-03-10,-0.510661385789579
2010,2020-03-11,-0.012994699605502702
2010,2020-03-12,-0.4940211952396083
2010,2020-03-13,-0.28752243834846136
2010,2020-03-14,-0.25959056621397203
2010,2020-03-15,-0.35817053436677637
2010,2020-03-16,-0.15224750006923993
2010,2020-03-17,0.014701098422962106
2010,2020-03-18,-0.17614557382166707
2010,2020-03-19,-0.47873166119199917
2010,2020-03-20,-0.13206586199144188
2010,2020-03-21,-0.1316617406819004
2010,2020-03-22,-0.1293377396141817
2010,2020-03-23,0.30389839932757134
2010,2020-03-24,-0.4243528106554474
2010,2020-03-25,-0.31170690904821485
2010,2020-03-26,-0.09453155232631494
2010,2020-03-27,-0.3733252904015836
2010,2020-03-28,-0.25299609582311433
2010,2020-03-29,-0.6020622013561089
2010,2020-03-30,-0.3986081962026323
2010,2020-03-31,-0.2082244129662597
2010,2020-04-01,-0.17174751082219897
2010,2020-04-02,-0.06131272473846672
2010,2020-04-03,-0.490636799995414
2010,2020-04-04,-0.22616988408867644
2010,2020-04-05,-0.09799935049652175
2010,2020-04-06,-0.36561702228784665
2010,2020-04-07,-0.6158668850769081
2010,2020-04-08,-0.6365314830337451
2010,2020-04-09,-0.001800768672140407
2010,2020-04-10,-0.23211833541705562
2010,2020-04-11,-0.4653793108605603
2010,2020-04-12,-0.4818531056673462
2010,2020-04-13,-0.5304612363009794
2010,2020-04-14,-0.11712512933872377
2010,2020-04-15,-0.2585716376348982
2010,2020-04-16,-0.04763738512340887
2010,2020-04-17,-0.13687744759927345
2010,2020-04-18,-0.17518100006960757
2010,2020-04-19,-0.28482852872091735
2010,2020-04-20,-0.12233260372136123
2010,2020-04-21,-0.7117817753032877
2010,2020-04-22,-0.19760209126957407
2010,2020-04-23,-0.4031894972428359
2010,2020-04-24,-0.28161363921478555
2010,2020-04-25,-0.20131333262919016
2010,2020-04-26,-0.13213618949630346
2010,2020-04-27,-0.14045219259834318
2010,2020-04-28,-0.1798997106177499
2010,2020-04-29,-0.39305351408506384
2010,2020-04-30,-0.22428619662084037
2010,2020-05-01,-0.4838479398038301
2010,2020-05-02,-0.1471755052477719
2010,2020-05-03,-0.2370322463813176
